instance,instanceType,avgSolvingTime,instanceResults,genInstance,genResults,status,iraceScore,totalTime,instanceHashValue
inst-26-510416220.dzn,sat,3.3166370391845703,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 3.3166370391845703, 'extra': {'objs': [(0.6804554462432861, 5.0), (2.6140687465667725, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.402547, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-26.param,"{'status': 'sat', 'seed': 510416220, 'SRTime': 0, 'solverTime': 0.04502129554748535}",graded,-1.0,3.8038294315338135,5490656e1913e91803b79fe8f0a86c58
inst-28-61910261.dzn,unsat,0.11733031272888184,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.11733031272888184, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.0499284, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-28.param,"{'status': 'sat', 'seed': 61910261, 'SRTime': 0, 'solverTime': 0.04358959197998047}",graded,-1.0,0.5981695652008057,560ba3b155c4dd2e16b1c3ee2808756d
inst-14-1965286212.dzn,sat,4.918634414672852,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 4.918634414672852, 'extra': {'objs': [(0.779249906539917, 5.0), (3.5318751335144043, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.457395, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-14.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 0, 'solverTime': 0.04316282272338867}",graded,-1.0,5.392688751220703,590ce55b4ba95c2da77c12d6ac6bca06
inst-1-1068608867.dzn,sat,0.6186232566833496,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.6186232566833496, 'extra': {'objs': [(0.49338245391845703, 3.0), (0.5445044040679932, 2.0)], 'flattenStatus': 'ok', 'flattenTime': 0.296973, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-1.param,"{'status': 'sat', 'seed': 1068608867, 'SRTime': 0, 'solverTime': 0.033296823501586914}",graded,-1.0,1.1051139831542969,598619b757bad82d019b34693d4b5ed1
inst-15-735527639.dzn,unsat,4.718442440032959,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 4.718442440032959, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 1.31881, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-15.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 0.3263089656829834, 'solverTime': 0.02824854850769043}",graded,-1.0,5.03326153755188,6129a4f3748c76773243586bd11f987f
inst-15-601225362.dzn,unsat,4.0183024406433105,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 4.0183024406433105, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 1.2579, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-15.param,"{'status': 'sat', 'seed': 601225362, 'SRTime': 0, 'solverTime': 0.08276820182800293}",graded,-1.0,4.541434288024902,652eecd7093c53b1431466f83db069e8
inst-17-813778292.dzn,unsat,0.8181641101837158,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.8181641101837158, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.414046, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-17.param,"{'status': 'sat', 'seed': 813778292, 'SRTime': 0, 'solverTime': 0.04264211654663086}",graded,-1.0,1.2816622257232666,6674b164086b3777d4c65f22d78cbd46
inst-28-1222707704.dzn,unsat,0.1177835464477539,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.1177835464477539, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.046854, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-28.param,"{'status': 'sat', 'seed': 1222707704, 'SRTime': 0, 'solverTime': 0.04982876777648926}",graded,-1.0,0.5945525169372559,6af5ca09cad441317323d85081503e58
inst-13-1068608867.dzn,unsat,0.11769914627075195,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.11769914627075195, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.0541044, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-13.param,"{'status': 'sat', 'seed': 1068608867, 'SRTime': 0.3122119903564453, 'solverTime': 0.034508466720581055}",graded,-1.0,1.1154897212982178,74a0041acbe631f8b8ac65b309a5b17a
inst-17-285596038.dzn,unsat,0.9184060096740723,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.9184060096740723, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.418569, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-17.param,"{'status': 'sat', 'seed': 285596038, 'SRTime': 0, 'solverTime': 0.04290318489074707}",graded,-1.0,1.385599136352539,77bfc4fecd388c9ca02acca21091d86c
inst-2-1489266180.dzn,unsat,3.3173274993896484,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 3.3173274993896484, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 1.68721, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-2.param,"{'status': 'sat', 'seed': 1489266180, 'SRTime': 0, 'solverTime': 0.045413970947265625}",graded,-1.0,3.7976388931274414,78d7ca6e2d4bd3097b67de4d71e94941
inst-15-61910261.dzn,unsat,4.816694498062134,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 4.816694498062134, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 1.27033, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-15.param,"{'status': 'sat', 'seed': 61910261, 'SRTime': 0, 'solverTime': 0.17582392692565918}",graded,-1.0,5.431551218032837,7aa0762d0c7c648b2b50652ab1a9b747
inst-23-510416220.dzn,sat,5.15607476234436,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'S', 'time': 5.15607476234436, 'extra': {'objs': [(0.8300011157989502, 5.0)], 'flattenStatus': 'ok', 'flattenTime': 0.485336, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-23.param,"{'status': 'sat', 'seed': 510416220, 'SRTime': 0, 'solverTime': 0.042826175689697266}",graded,-1.0,5.626248836517334,7afad1ec0909a2c958a417d5df076c16
